file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
A Novel Hyperspectral Unmixing Approach Jointly Addressing Nonlinearity and Spectral Variability in Urban Environments.pdf,A Novel Hyperspectral Unmixing Approach Jointly Addressing Nonlinearity and Spectral Variability in Urban Environments,10.1109/IGARSS55030.2025.11243933,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; NMF; spectral variability,10.1109/igarss55030.2025.11243933,1
A Physics-Guided Diffusion Unmixing Model for Global Lunar Mineral Abundance Mapping.pdf,A Physics-Guided Diffusion Unmixing Model for Global Lunar Mineral Abundance Mapping,10.1109/JSTARS.2026.3657892,2026,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; diffusion; spectral variability; Hapke,10.1109/jstars.2026.3657892,1
A Promising Contribution of Hyperspectral Unmixing for Overlapped Tissues Segmentation Using Autoencoders.pdf,A Promising Contribution of Hyperspectral Unmixing for Overlapped Tissues Segmentation Using Autoencoders,10.1109/ICABME66883.2025.11210879,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability,10.1109/icabme66883.2025.11210879,1
A Regional Adaptive Autoencoder Network for Hyperspectral Unmixing.pdf,A Regional Adaptive Autoencoder Network for Hyperspectral Unmixing,10.1109/IAECST64597.2024.11117391,,TBD,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; attention,10.1109/iaecst64597.2024.11117391,1
A Reversible Generative Network for Hyperspectral Unmixing With Spectral Variability.pdf,A Reversible Generative Network for Hyperspectral Unmixing With Spectral Variability,10.1109/TGRS.2024.3403926,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; spectral variability; attention,10.1109/tgrs.2024.3403926,1
A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery.pdf,A Spatial-Spectral Component Representation Network for Fine-Grained Mineral Classification in Hyperspectral Imagery,10.1109/JSTARS.2026.3689661,,TBD,no,related application / not core HU survey,,,,10.1109/jstars.2026.3689661,1
A Spectral Variability Attention Autoencoder Network for Hyperspectral Unmixing.pdf,A Spectral Variability Attention Autoencoder Network for Hyperspectral Unmixing,10.1109/IGARSS53475.2024.10641672,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability; attention,10.1109/igarss53475.2024.10641672,1
A Spectral-Spatial Attention Network for Hyperspectral Unmixing.pdf,A Spectral-Spatial Attention Network for Hyperspectral Unmixing,10.1109/TGRS.2025.3576479,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; attention,10.1109/tgrs.2025.3576479,2
A Supervised Approach for Estimating Fractional Abundances of Binary Intimate Mixtures.pdf,A Supervised Approach for Estimating Fractional Abundances of Binary Intimate Mixtures,10.1109/JSTARS.2024.3387750,2024,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; spectral variability,10.1109/jstars.2024.3387750,1
A Swin Transformer-Based Hybrid U-Shape Network for Nonlinear Hyperspectral Unmixing.pdf,A Swin Transformer-Based Hybrid U-Shape Network for Nonlinear Hyperspectral Unmixing,10.1109/LGRS.2026.3681172,2026,IEEE Geoscience and Remote Sensing Letters,yes,,nonlinear,blind,nonlinear blind unmixing; transformer; attention; multiscale,10.1109/lgrs.2026.3681172,1
