file,title,doi,year,venue,include,skip_reason,mixing_model,supervision,category,canonical_key,duplicate_count
Efficient Progressive Mamba Model for Hyperspectral Sequence Unmixing.pdf,Efficient Progressive Mamba Model for Hyperspectral Sequence Unmixing,10.1109/JSTARS.2025.3593442,2025,TBD,yes,,linear,blind,linear blind unmixing; transformer; Mamba,10.1109/jstars.2025.3593442,1
Endmember Distinguished Low-Rank and Sparse Representation for Hyperspectral Unmixing.pdf,Endmember Distinguished Low-Rank and Sparse Representation for Hyperspectral Unmixing,10.1109/IGARSS53475.2024.10641266,,TBD,yes,,linear,blind,linear blind unmixing; sparse; ADMM; low-rank,10.1109/igarss53475.2024.10641266,1
Endmember Independence and Bilateral Filtering Regularizations for Blind Hyperspectral Unmixing.pdf,Endmember Independence and Bilateral Filtering Regularizations for Blind Hyperspectral Unmixing,10.1109/JSTARS.2025.3605626,2025,TBD,yes,,linear,blind,linear blind unmixing; tensor,10.1109/jstars.2025.3605626,1
Endmember Variation via Swarm Intelligence Optimization for Spatially Weighted Sparse Hyperspectral Unmixing.pdf,Endmember Variation via Swarm Intelligence Optimization for Spatially Weighted Sparse Hyperspectral Unmixing,10.1109/ICVISP68610.2025.11451704,,TBD,yes,,linear,blind,linear blind unmixing; sparse; ADMM; spectral variability,10.1109/icvisp68610.2025.11451704,1
Endmember-Free Hyperspectral Unmixing.pdf,Endmember-Free Hyperspectral Unmixing,10.1109/JSTARS.2025.3605889,2025,TBD,yes,,linear,blind,linear blind unmixing,10.1109/jstars.2025.3605889,1
Endmember-Guided Spectral-Spatial Feature Diffusion for Hyperspectral Anomaly Detection.pdf,Endmember-Guided Spectral-Spatial Feature Diffusion for Hyperspectral Anomaly Detection,10.1109/TGRS.2025.3641223,2026,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2025.3641223,1
Enhanced Spatial-Spectral Attention Network for Hyperspectral Image Unmixing.pdf,Enhanced Spatial-Spectral Attention Network for Hyperspectral Image Unmixing,10.1109/LGRS.2025.3551729,2025,IEEE Geoscience and Remote Sensing Letters,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; GAN; attention; multiscale,10.1109/lgrs.2025.3551729,1
Estimating Hemoglobin Changes in Body Tissue Using Multispectral Imaging- Spectral Unmixing and Machine Learning.pdf,"Estimating Hemoglobin Changes in Body Tissue Using Multispectral Imaging, Spectral Unmixing and Machine Learning",10.1109/ACCESS.2026.3697681,2024,TBD,no,related application / not core HU survey,,,,10.1109/access.2026.3697681,1
Evaluation of Hyperspectral Unmixing Methods A Comparative Study for Very-High Spatial Resolution Hyperspectral Images.pdf,Evaluation of Hyperspectral Unmixing Methods: A Comparative Study for Very-High Spatial Resolution Hyperspectral Images,10.1109/SSIAI59505.2024.10508656,,TBD,yes,,mixed,mixed,survey/dataset/tool,10.1109/ssiai59505.2024.10508656,1
Explainable dynamic spectral unmixing.pdf,Explainable dynamic spectral unmixing,10.1109/IGARSS55030.2025.11243542,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; attention,10.1109/igarss55030.2025.11243542,1
Explicit Background Endmember Learning for Hyperspectral Anomaly Detection.pdf,Explicit Background Endmember Learning for Hyperspectral Anomaly Detection,10.1109/TIM.2024.3446609,2024,TBD,no,related application / not core HU survey,,,,10.1109/tim.2024.3446609,1
Fast Semisupervised Unmixing Using Nonconvex Optimization.pdf,Fast Semisupervised Unmixing Using Nonconvex Optimization,10.1109/TGRS.2024.3440663,2024,IEEE Transactions on Geoscience and Remote Sensing,no,not HSI/MSI unmixing-focused,,,,10.1109/tgrs.2024.3440663,1
Feedback Information-Guided Spectral Variability Attention Network for Hyperspectral Unmixing.pdf,Feedback Information-Guided Spectral Variability Attention Network for Hyperspectral Unmixing,10.1109/TGRS.2024.3452323,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; spectral variability; attention,10.1109/tgrs.2024.3452323,1
Forward Spectral Mixture Modelling for Mineral Mapping Applications.pdf,Forward Spectral Mixture Modelling for Mineral Mapping Applications,10.1109/InGARSS61818.2024.10984204,,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing,10.1109/ingarss61818.2024.10984204,1
Frank-Wolfe Algorithm for Simplicial and Nonnegative Component Analysis.pdf,Frank-Wolfe Algorithm for Simplicial and Nonnegative Component Analysis,10.1109/SAM60225.2024.10636440,,TBD,yes,,linear,blind,linear blind unmixing; NMF,10.1109/sam60225.2024.10636440,1
Full-Mode-Augmentation Tensor-Train Rank Minimization for Hyperspectral Image Inpainting.pdf,Full-Mode-Augmentation Tensor-Train Rank Minimization for Hyperspectral Image Inpainting,10.1109/TGRS.2023.3341030,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2023.3341030,1
Fully Blind Hyperspectral Unmixing Without Explicit Mixing Models or Endmember Initialization.pdf,Fully Blind Hyperspectral Unmixing Without Explicit Mixing Models or Endmember Initialization,10.1109/TGRS.2026.3671829,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; transformer,10.1109/tgrs.2026.3671829,1
GAN Based Non-Linear Hyperspectral Unmixing Using Patch Transformer on Chandrayaan-2 IIRS Data.pdf,GAN Based Non-Linear Hyperspectral Unmixing Using Patch Transformer on Chandrayaan-2 IIRS Data,10.1109/IGARSS55030.2025.11242941,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; transformer; GAN,10.1109/igarss55030.2025.11242941,1
GGCT-Net A Dual-Branch Gated Graph Convolution and Grouped Cross-Attention Transformer Network for Hyperspectral Unmixing.pdf,GGCT-Net: A Dual-Branch Gated Graph Convolution and Grouped Cross-Attention Transformer Network for Hyperspectral Unmixing,10.1109/TGRS.2026.3668181,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; transformer; graph; attention,10.1109/tgrs.2026.3668181,1
Generalized Linear Mixing Model Based Environmental Monitoring Of Marine Mucilage.pdf,Generalized Linear Mixing Model Based Environmental Monitoring Of Marine Mucilage,10.1109/M2GARSS57310.2024.10537460,2021,TBD,no,related application / not core HU survey,,,,10.1109/m2garss57310.2024.10537460,1
Generating Synthetic Data to Train a Deep Unrolled Network for Hyperspectral Unmixing.pdf,Generating Synthetic Data to Train a Deep Unrolled Network for Hyperspectral Unmixing,,,TBD,yes,,linear,blind,linear blind unmixing; autoencoder; sparse,generating synthetic data to train a deep unrolled network for hyperspectral unmixing,1
Graph Laplacian Regularization and Local Collaborative Sparse Regression Based on Superpixel Segmentation for Hyperspectral Imagery.pdf,Graph Laplacian Regularization and Local Collaborative Sparse Regression Based on Superpixel Segmentation for Hyperspectral Imagery,10.1109/IGARSS53475.2024.10640874,,TBD,yes,,linear,blind,linear blind unmixing; sparse; graph; ADMM; attention,10.1109/igarss53475.2024.10640874,1
Hybrid Linear-Nonlinear Hyperspectral Unmixing of Homogeneous Solutions.pdf,Hybrid Linear-Nonlinear Hyperspectral Unmixing of Homogeneous Solutions,10.1109/ICECER65523.2025.11401230,2025,TBD,yes,,hybrid/unclear,blind,hybrid blind unmixing; NMF; bilinear,10.1109/icecer65523.2025.11401230,1
Hyperspectral Blind Unmixing Using a Double Deep Image Prior.pdf,Hyperspectral Blind Unmixing Using a Double Deep Image Prior,10.1109/TNNLS.2023.3294714,2024,IEEE Transactions on Neural Networks and Learning Systems,yes,,hybrid/unclear,blind,hybrid blind unmixing; DIP,10.1109/tnnls.2023.3294714,1
Hyperspectral Blind Unmixing via First-Order Graph-Guided Sparse Nonnegative Matrix Factorization.pdf,Hyperspectral Blind Unmixing via First-Order Graph-Guided Sparse Nonnegative Matrix Factorization,10.1109/ICVISP68610.2025.11451711,,IEEE ICIP,yes,,linear,blind,linear blind unmixing; NMF; sparse; graph,10.1109/icvisp68610.2025.11451711,2
Hyperspectral Change Detection By An Unmixing-Nmf-Based Approach Dealing With Spectral Variability.pdf,Hyperspectral Change Detection By An Unmixing-Nmf-Based Approach Dealing With Spectral Variability,10.1109/IGARSS55030.2025.11242537,,TBD,no,related application / not core HU survey,,,,10.1109/igarss55030.2025.11242537,1
Hyperspectral Image Endmember Extraction Algorithm Based on Manifold Learning and Superpixel Feature Extraction.pdf,Hyperspectral Image Endmember Extraction Algorithm Based on Manifold Learning and Superpixel Feature Extraction,10.1109/CISCE62493.2024.10653429,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing,10.1109/cisce62493.2024.10653429,1
Hyperspectral Image Synthesis Through Blind Unmixing Dictionary and Deep Diffusion Models.pdf,Hyperspectral Image Synthesis Through Blind Unmixing Dictionary and Deep Diffusion Models,10.1109/LGRS.2025.3646054,2026,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; diffusion,10.1109/lgrs.2025.3646054,2
Hyperspectral Images Single-Source Domain Generalization Based on Nonlinear Sample Generation.pdf,Hyperspectral Images Single-Source Domain Generalization Based on Nonlinear Sample Generation,10.1109/TGRS.2024.3394435,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2024.3394435,1
Hyperspectral Pixel Unmixing With Latent Dirichlet Variational Autoencoder.pdf,Hyperspectral Pixel Unmixing With Latent Dirichlet Variational Autoencoder,10.1109/TGRS.2024.3357589,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder,10.1109/tgrs.2024.3357589,1
Hyperspectral Sparse Unmixing Based on Dual-Population Cooperative Optimization.pdf,Hyperspectral Sparse Unmixing Based on Dual-Population Cooperative Optimization,10.1109/LGRS.2025.3545776,2025,IEEE Geoscience and Remote Sensing Letters,yes,,linear,semi-supervised,linear semi-supervised unmixing; NMF; sparse,10.1109/lgrs.2025.3545776,1
Hyperspectral Super-Resolution Using Nonlinear Unmixing and Nonnegative Tensor Factorization.pdf,Hyperspectral Super-Resolution Using Nonlinear Unmixing and Nonnegative Tensor Factorization,,,TBD,no,related application / not core HU survey,,,,hyperspectral super resolution using nonlinear unmixing and nonnegative tensor factorization,1
Hyperspectral Unmixing Based on Chaotic Sequence Optimization of Lp Norm.pdf,Hyperspectral Unmixing Based on Chaotic Sequence Optimization of <italic>Lp</italic> Norm,10.1109/LGRS.2024.3425839,2024,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; NMF; sparse,10.1109/lgrs.2024.3425839,1
Hyperspectral Unmixing Based on Dual-Graph Manifold Regularization Joint Preservation of Spatial-Spectral Geometric Structure.pdf,Hyperspectral Unmixing Based on Dual-Graph Manifold Regularization: Joint Preservation of Spatial-Spectral Geometric Structure,10.1109/ICGMRS66001.2025.11065202,,TBD,yes,,linear,blind,linear blind unmixing; NMF; graph,10.1109/icgmrs66001.2025.11065202,1
Hyperspectral Unmixing Based on Multilinear Mixing Model Using Convolutional Autoencoders.pdf,Hyperspectral Unmixing Based on Multilinear Mixing Model Using Convolutional Autoencoders,10.1109/TGRS.2024.3360714,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; graph; multilinear; bilinear,10.1109/tgrs.2024.3360714,2
Hyperspectral Unmixing Network Based on Hybrid Spectral Variability Model.pdf,Hyperspectral Unmixing Network Based on Hybrid Spectral Variability Model,10.1109/IGARSS55030.2025.11243760,,TBD,yes,,hybrid/unclear,blind,hybrid blind unmixing; autoencoder; NMF; sparse; spectral variability,10.1109/igarss55030.2025.11243760,1
Hyperspectral Unmixing Using -2-1 Norm-Based Robust Deep Nonnegative Matrix Factorization.pdf,"Hyperspectral Unmixing Using l<inf>2,1</inf> Norm-Based Robust Deep Nonnegative Matrix Factorization",10.1109/IGARSS55030.2025.11242377,,TBD,yes,,linear,blind,linear blind unmixing; NMF,10.1109/igarss55030.2025.11242377,1
Hyperspectral Unmixing Using Frequency-Adaptive Convolutional-Mamba Network.pdf,Hyperspectral Unmixing Using Frequency-Adaptive Convolutional-Mamba Network,10.1109/JSTARS.2026.3677880,2026,TBD,yes,,linear,blind,linear blind unmixing; Mamba; spectral variability,10.1109/jstars.2026.3677880,1
Hyperspectral Unmixing Using Nonconvex Shrinkage and Total Variation.pdf,Hyperspectral Unmixing Using Nonconvex Shrinkage and Total Variation,10.1109/ICEEE62185.2024.10779271,,TBD,yes,,linear,semi-supervised,linear semi-supervised unmixing; sparse; ADMM; GAN,10.1109/iceee62185.2024.10779271,1
Hyperspectral Unmixing Using Reweighted Unidirectional TV Low-Rank NTF With Multiple-Factor Collaboration Regularization.pdf,Hyperspectral Unmixing Using Reweighted Unidirectional TV Low-Rank NTF With Multiple-Factor Collaboration Regularization,10.1109/JSTARS.2024.3392833,2024,TBD,yes,,linear,blind,linear blind unmixing; sparse; low-rank; tensor,10.1109/jstars.2024.3392833,1
Hyperspectral Unmixing With Multi-Scale Convolution Attention Network.pdf,Hyperspectral Unmixing With Multi-Scale Convolution Attention Network,10.1109/JSTARS.2023.3335907,2024,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; attention,10.1109/jstars.2023.3335907,1
Hyperspectral Unmixing With Row-Sparsity Enhancement A Difference-of-Convex Approach.pdf,Hyperspectral Unmixing With Row-Sparsity Enhancement: A Difference-of-Convex Approach,10.1109/APSIPAASC63619.2025.10849210,2024,TBD,yes,,linear,blind,linear blind unmixing; KAN; sparse; GAN,10.1109/apsipaasc63619.2025.10849210,1
Hyperspectral Unmixing via Multi-scale Representation by CNN-BiLSTM and Transformer Network.pdf,Hyperspectral Unmixing via Multi-scale Representation by CNN-BiLSTM and Transformer Network,10.1109/ICSIDP62679.2024.10868234,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; transformer; graph,10.1109/icsidp62679.2024.10868234,1
Hyperspectral Unmixing via Nonconvex Low-Rank and Weighted Sparsity Constraints.pdf,Hyperspectral Unmixing via Nonconvex Low-Rank and Weighted Sparsity Constraints,10.1109/ICVISP68610.2025.11451684,,TBD,yes,,linear,blind,linear blind unmixing; sparse; ADMM; low-rank,10.1109/icvisp68610.2025.11451684,1
Hyperspectral and Mutlispectral Image Fusion Based on Spectral Library and Sparse Unmixing to Address Spectral Variability.pdf,Hyperspectral and Mutlispectral Image Fusion Based on Spectral Library and Sparse Unmixing to Address Spectral Variability,10.1109/JURSE60372.2025.11075971,,TBD,no,related application / not core HU survey,,,,10.1109/jurse60372.2025.11075971,1
Hyperspectral_Blind_Unmixing_via_First-Order_Graph-Guided_Sparse_Nonnegative_Matrix_Factorization.pdf,Hyperspectral Blind Unmixing via First-Order Graph-Guided Sparse Nonnegative Matrix Factorization,10.1109/ICVISP68610.2025.11451711,,IEEE ICIP,yes,,linear,blind,linear blind unmixing; NMF; sparse; graph,10.1109/icvisp68610.2025.11451711,2
Hyperspectral_Image_Synthesis_Through_Blind_Unmixing_Dictionary_and_Deep_Diffusion_Models.pdf,Hyperspectral Image Synthesis Through Blind Unmixing Dictionary and Deep Diffusion Models,10.1109/LGRS.2025.3646054,2026,IEEE Geoscience and Remote Sensing Letters,yes,,linear,blind,linear blind unmixing; diffusion,10.1109/lgrs.2025.3646054,2
Hyperspectral_Unmixing_Based_on_Multilinear_Mixing_Model_Using_Convolutional_Autoencoders.pdf,Hyperspectral Unmixing Based on Multilinear Mixing Model Using Convolutional Autoencoders,10.1109/TGRS.2024.3360714,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; graph; multilinear; bilinear,10.1109/tgrs.2024.3360714,2
Identifiable Solutions to Foreground Signature Extraction From Hyperspectral Images in an Intimate Mixing Scenario.pdf,Identifiable Solutions to Foreground Signature Extraction From Hyperspectral Images in an Intimate Mixing Scenario,10.1109/ICASSP40776.2020.9053456,2024,TBD,yes,,nonlinear,blind,nonlinear blind unmixing,10.1109/icassp40776.2020.9053456,1
Image Classification of Hyperspectral Images using Machine Learning.pdf,Image Classification of Hyperspectral Images using Machine Learning,10.1109/ICECCC61767.2024.10593989,,TBD,no,related application / not core HU survey,,,,10.1109/iceccc61767.2024.10593989,1
Image Processing and Machine Learning for Hyperspectral Unmixing An Overview and the HySUPP Python Package.pdf,Image Processing and Machine Learning for Hyperspectral Unmixing: An Overview and the HySUPP Python Package,10.1109/TGRS.2024.3393570,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,mixed,mixed,survey/dataset/tool,10.1109/tgrs.2024.3393570,2
Image_Processing_and_Machine_Learning_for_Hyperspectral_Unmixing_An_Overview_and_the_HySUPP_Python_Package.pdf,Image Processing and Machine Learning for Hyperspectral Unmixing: An Overview and the HySUPP Python Package,10.1109/TGRS.2024.3393570,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,mixed,mixed,survey/dataset/tool,10.1109/tgrs.2024.3393570,2
Improved Hyperspectral Unmixing Algorithm Involving the Multiplicative NMF Concept for Additive Mixing Model Dealing with Spectral Variability.pdf,Improved Hyperspectral Unmixing Algorithm Involving the Multiplicative NMF Concept for Additive Mixing Model Dealing with Spectral Variability,10.1109/IGARSS55030.2025.11243233,,TBD,yes,,linear,blind,linear blind unmixing; NMF; spectral variability,10.1109/igarss55030.2025.11243233,1
Improving Spectral Unmixing Performance by Frequency Component Reduction.pdf,Improving Spectral Unmixing Performance by Frequency Component Reduction,10.1109/WHISPERS65427.2024.10876530,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; Hapke; bilinear,10.1109/whispers65427.2024.10876530,1
Influence_of_Bidirectional_Reflectance_Distribution_Function_in_Estimating_Basic_Soil_Properties_Using_Airborne_Hyperspectral_Data.pdf,Influence of Bidirectional Reflectance Distribution Function in Estimating Basic Soil Properties Using Airborne Hyperspectral Data,10.1109/TGRS.2025.3569059,2025,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2025.3569059,1
Informed NMF-Based Unmixing Method Addressing Spectral Variability for Marine Mucilage Mapping using Hyperspectral Prisma Data.pdf,Informed NMF-Based Unmixing Method Addressing Spectral Variability for Marine Mucilage Mapping using Hyperspectral Prisma Data,10.1109/IGARSS53475.2024.10640706,2021,TBD,no,related application / not core HU survey,,,,10.1109/igarss53475.2024.10640706,1
Integrating Recurrent-KAN With SAM Adapter for Blind Hyperspectral Unmixing.pdf,Integrating Recurrent-KAN With SAM Adapter for Blind Hyperspectral Unmixing,10.1109/TGRS.2025.3635216,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; transformer; KAN; SAM adapter,10.1109/tgrs.2025.3635216,2
Integrating_Recurrent-KAN_With_SAM_Adapter_for_Blind_Hyperspectral_Unmixing.pdf,Integrating Recurrent-KAN With SAM Adapter for Blind Hyperspectral Unmixing,10.1109/TGRS.2025.3635216,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; transformer; KAN; SAM adapter,10.1109/tgrs.2025.3635216,2
Interpretable Low-Rank Sparse Unmixing and Spatial Attention-Enhanced Difference Mapping Network for Hyperspectral Change Detection.pdf,Interpretable Low-Rank Sparse Unmixing and Spatial Attention-Enhanced Difference Mapping Network for Hyperspectral Change Detection,,2025,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,interpretable low rank sparse unmixing and spatial attention enhanced difference mapping network for hyperspectral change detection,1
Isolating Signals in Passive Non-Line-of-Sight Imaging Using Spectral Content.pdf,Isolating Signals in Passive Non-Line-of-Sight Imaging Using Spectral Content,10.1109/TPAMI.2023.3301336,2025,TBD,yes,,linear,blind,linear blind unmixing,10.1109/tpami.2023.3301336,1
Large-Scale Mapping of Soil Quality Index in Different Land Uses Using Airborne Hyperspectral Data.pdf,Large-Scale Mapping of Soil Quality Index in Different Land Uses Using Airborne Hyperspectral Data,10.1109/TGRS.2024.3360334,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2024.3360334,1
Large-Scale_Mapping_of_Soil_Quality_Index_in_Different_Land_Uses_Using_Airborne_Hyperspectral_Data.pdf,Large-Scale Mapping of Soil Quality Index in Different Land Uses Using Airborne Hyperspectral Data,10.1109/TGRS.2024.3360334,2024,IEEE Transactions on Geoscience and Remote Sensing,no,related application / not core HU survey,,,,10.1109/tgrs.2024.3360334,1
Leveraging Interpretable Neural Networks Trained on Spectral Libraries for Hyperspectral Mineral Classification.pdf,Leveraging Interpretable Neural Networks Trained on Spectral Libraries for Hyperspectral Mineral Classification,10.1109/IGARSS55030.2025.11313912,,TBD,no,related application / not core HU survey,,,,10.1109/igarss55030.2025.11313912,1
Linearized ADMM for Simplicial and Nonnegative Component Analyses.pdf,Linearized ADMM for Simplicial and Nonnegative Component Analyses,10.1109/IEEECONF67917.2025.11443634,,TBD,yes,,linear,blind,linear blind unmixing; NMF; ADMM,10.1109/ieeeconf67917.2025.11443634,1
Locally-Rank-One-Based Joint Unmixing and Demosaicing Methods for Snapshot Spectral Images. Part II A Filtering-Based Framework.pdf,Locally-Rank-One-Based Joint Unmixing and Demosaicing Methods for Snapshot Spectral Images. Part II: A Filtering-Based Framework,10.1109/TCI.2024.3402441,2024,IEEE Transactions on Computational Imaging,yes,,linear,blind,linear blind unmixing; low-rank,10.1109/tci.2024.3402441,1
MAT-Net_Multiscale_Aggregation_Transformer_Network_for_Hyperspectral_Unmixing.pdf,MAT-Net: Multiscale Aggregation Transformer Network for Hyperspectral Unmixing,10.1109/TGRS.2024.3494795,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; transformer; attention; multiscale,10.1109/tgrs.2024.3494795,1
MFU-Net A Novel Deep Learning Framework for Unmixing Method for Sentinel-2 Imagery of Invasive Serrated Tussock -Nassella Trichotoma-.pdf,MFU-Net: A Novel Deep Learning Framework for Unmixing Method for Sentinel-2 Imagery of Invasive Serrated Tussock (Nassella Trichotoma),10.1109/IVCNZ67716.2025.11281840,2025,TBD,yes,,linear,blind,linear blind unmixing; attention,10.1109/ivcnz67716.2025.11281840,1
MS2AE-Net A Multiscale Spectral-Spatial Autoencoder Network for Hyperspectral Unmixing.pdf,MS<sup>2</sup>AE-Net: A Multiscale Spectral-Spatial Autoencoder Network for Hyperspectral Unmixing,10.1109/TGRS.2026.3662051,2026,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; multiscale,10.1109/tgrs.2026.3662051,1
MSCC-ViTA Multiscale Visual-Transformer Network Using Convolution Crossing Attention for Hyperspectral Unmixing.pdf,MSCC-ViT:A Multiscale Visual-Transformer Network Using Convolution Crossing Attention for Hyperspectral Unmixing,10.1109/JSTARS.2024.3465227,2024,TBD,yes,,linear,blind,linear blind unmixing; transformer; attention; multiscale,10.1109/jstars.2024.3465227,1
MSSF-Net A Multimodal Spectral-Spatial Feature Fusion Network for Hyperspectral Unmixing.pdf,MSSF-Net: A Multimodal Spectral-Spatial Feature Fusion Network for Hyperspectral Unmixing,10.1109/TGRS.2025.3563647,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; attention; multimodal,10.1109/tgrs.2025.3563647,2
MSSF-Net_A_Multimodal_SpectralSpatial_Feature_Fusion_Network_for_Hyperspectral_Unmixing.pdf,MSSF-Net: A Multimodal Spectral-Spatial Feature Fusion Network for Hyperspectral Unmixing,10.1109/TGRS.2025.3563647,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; autoencoder; attention; multimodal,10.1109/tgrs.2025.3563647,2
Mamba-Enhanced Spatial-Spectral Feature Learning for Hyperspectral Unmixing.pdf,Mamba-Enhanced Spatial-Spectral Feature Learning for Hyperspectral Unmixing,10.1109/JSTARS.2025.3598873,2025,TBD,yes,,linear,blind,linear blind unmixing; Mamba,10.1109/jstars.2025.3598873,1
Marine Mucilage Mapping Using a Partial Linear-Quadratic Hyperspectral Unmixing NMF-Based Approach.pdf,Marine Mucilage Mapping Using a Partial Linear-Quadratic Hyperspectral Unmixing NMF-Based Approach,10.1109/IGARSS55030.2025.11243385,2021,TBD,yes,,nonlinear,semi-supervised,nonlinear semi-supervised unmixing; NMF,10.1109/igarss55030.2025.11243385,1
Marine Mucilage Monitoring of the Adriatic Sea With Perturbed Linear Mixing Model.pdf,Marine Mucilage Monitoring of the Adriatic Sea With Perturbed Linear Mixing Model,10.1109/JURSE60372.2025.11076047,,TBD,no,related application / not core HU survey,,,,10.1109/jurse60372.2025.11076047,1
Maximum Correntropy-Based Kurtosis Regularization Constrained Non-negative Matrix Factorization For Hyperspectral Unmixing.pdf,Maximum Correntropy-Based Kurtosis Regularization Constrained Non-negative Matrix Factorization For Hyperspectral Unmixing,,,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; NMF; sparse,maximum correntropy based kurtosis regularization constrained non negative matrix factorization for hyperspectral unmixing,1
Multi-Excitation Hyperspectral Imaging Toward Improved Lichen Identification.pdf,Multi-Excitation Hyperspectral Imaging Toward Improved Lichen Identification,10.1109/WHISPERS69515.2025.11501622,,TBD,no,not HSI/MSI unmixing-focused,,,,10.1109/whispers69515.2025.11501622,1
Multiple Endmember Extraction Using Spatial-Spectral Information.pdf,Multiple Endmember Extraction Using Spatial-Spectral Information,10.1109/SPIC62469.2024.10691535,,TBD,yes,,linear,blind,linear blind unmixing; spectral variability,10.1109/spic62469.2024.10691535,1
Multiscale Convolutional Mask Network for Hyperspectral Unmixing.pdf,Multiscale Convolutional Mask Network for Hyperspectral Unmixing,10.1109/JSTARS.2024.3352080,2024,TBD,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; graph; spectral variability; multiscale,10.1109/jstars.2024.3352080,1
Multiscale Spatial Graph-Regularized Hierarchical Sparse Unmixing Based on the Framelet Transform.pdf,Multiscale Spatial Graph-Regularized Hierarchical Sparse Unmixing Based on the Framelet Transform,10.1109/TGRS.2025.3609968,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; sparse; graph; ADMM; multiscale,10.1109/tgrs.2025.3609968,1
Mutual Incoherence and Relative Total Variation Regularizations for Blind Hyperspectral Unmixing.pdf,Mutual Incoherence and Relative Total Variation Regularizations for Blind Hyperspectral Unmixing,10.1109/TGRS.2024.3388991,2024,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,semi-supervised,linear semi-supervised unmixing; KAN; NMF; sparse,10.1109/tgrs.2024.3388991,1
Neural Architecture Search With Spatial-Spectral Attention for Higher-Order Nonlinear Hyperspectral Unmixing.pdf,Neural Architecture Search With Spatial-Spectral Attention for Higher-Order Nonlinear Hyperspectral Unmixing,10.1109/TNNLS.2026.3678170,,IEEE Transactions on Neural Networks and Learning Systems,yes,,nonlinear,blind,nonlinear blind unmixing; autoencoder; sparse; attention; multiscale,10.1109/tnnls.2026.3678170,1
Noise-to-Abundance Translation Unsupervised Hyperspectral Unmixing Based on Diffusion Models.pdf,Noise-to-Abundance Translation: Unsupervised Hyperspectral Unmixing Based on Diffusion Models,10.1109/TGRS.2025.3582029,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; diffusion,10.1109/tgrs.2025.3582029,2
Noise-to-Abundance_Translation_Unsupervised_Hyperspectral_Unmixing_Based_on_Diffusion_Models.pdf,Noise-to-Abundance Translation: Unsupervised Hyperspectral Unmixing Based on Diffusion Models,10.1109/TGRS.2025.3582029,2025,IEEE Transactions on Geoscience and Remote Sensing,yes,,linear,blind,linear blind unmixing; autoencoder; diffusion,10.1109/tgrs.2025.3582029,2
