file,title,doi,reason
PRISM Pruning for Rank-adaptive Interpretable Segmentation Model with Application to Historical Document Multiband Images.pdf,PRISM: Pruning for Rank-adaptive Interpretable Segmentation Model with Application to Historical Document Multiband Images,10.1109/ICCVW69036.2025.00780,related application / not core HU survey
Pixel-Wise Shuffling with Collaborative Sparsity for Melanoma Hyperspectral Image Classification.pdf,Pixel-Wise Shuffling with Collaborative Sparsity for Melanoma Hyperspectral Image Classification,10.1109/WACV61041.2025.00632,related application / not core HU survey
Provable Unregistered Hyperspectral-Multispectral Image Fusion via Spectral Unmixing and Adversarial Learning.pdf,Provable Unregistered Hyperspectral-Multispectral Image Fusion via Spectral Unmixing and Adversarial Learning,10.1109/ICASSP55912.2026.11460454,related application / not core HU survey
Quantum-Inspired Virtual Prism for Multispectral Unmixing.pdf,Quantum-Inspired Virtual Prism for Multispectral Unmixing,10.1109/IGARSS55030.2025.11244014,related application / not core HU survey
SVHAE Spectral Variability-Aware Hybrid Autoencoder for Hyperspectral Underwater Target Detection.pdf,SVHAE: Spectral Variability-Aware Hybrid Autoencoder for Hyperspectral Underwater Target Detection,,related application / not core HU survey
Sparse Regularization-Based Unmixing Methods for Photoacoustic Image Analysis.pdf,Sparse Regularization-Based Unmixing Methods for Photoacoustic Image Analysis,10.1109/ICIPMC62364.2024.10586605,not HSI/MSI unmixing-focused
Sparse Unmixing with Dictionary-Based Spatial-Spectral Low-Rank Decomposition for Hyperspectral Anomaly Detection.pdf,Sparse Unmixing with Dictionary-Based Spatial-Spectral Low-Rank Decomposition for Hyperspectral Anomaly Detection,10.1109/ICVISP68610.2025.11451748,related application / not core HU survey
Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution.pdf,Specific Spectral Target Detection for Multispectral Images via Target-Focused Spectral Super-Resolution,10.1109/JSTARS.2025.3547347,related application / not core HU survey
SpectraMorph Structured Latent Learning for Self-Supervised Hyperspectral Super-Resolution.pdf,SpectraMorph: Structured Latent Learning for Self-Supervised Hyperspectral Super-Resolution,10.1109/ICASSP55912.2026.11461602,related application / not core HU survey
Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation.pdf,Spectral Fidelity Aware Hyperspectral Image Denoising via Unsupervised Triple Attention with Endmember Preservation,10.1109/WHISPERS69515.2025.11501619,related application / not core HU survey
Spectral Unmixing - Deep Learning for Pixel-wise Classification of Placental Multispectral Images.pdf,Spectral Unmixing + Deep Learning for Pixel-wise Classification of Placental Multispectral Images,10.1109/LA-CCI66231.2025.11270452,related application / not core HU survey
Spectral Unmixing for Bare Soil Detection A Step Toward Soil Organic Carbon Estimation.pdf,Spectral Unmixing for Bare Soil Detection: A Step Toward Soil Organic Carbon Estimation,10.1109/MIGARS67156.2025.11231939,related application / not core HU survey
Spectral Unmixing for Identification of Colorants in Candies Using Hyperspectral Imaging.pdf,Spectral Unmixing for Identification of Colorants in Candies Using Hyperspectral Imaging,10.1109/I5CPS67958.2026.11452578,related application / not core HU survey
SuperRPCA A Collaborative Superpixel Representation Prior-Aided RPCA for Hyperspectral Anomaly Detection.pdf,SuperRPCA: A Collaborative Superpixel Representation Prior-Aided RPCA for Hyperspectral Anomaly Detection,10.1109/TGRS.2024.3459956,not HSI/MSI unmixing-focused
UADNet A Joint Unmixing and Anomaly Detection Network Based on Deep Clustering for Hyperspectral Image.pdf,UADNet: A Joint Unmixing and Anomaly Detection Network Based on Deep Clustering for Hyperspectral Image,10.1109/TGRS.2024.3375934,related application / not core HU survey
Urban Vegetation Mapping with Hyperspectral Prisma Data through an Original NMF-Based Unmixing Algorithm Associated with the Augmented Linear Mixing Model Addressing Spectral Variability.pdf,Urban Vegetation Mapping with Hyperspectral Prisma Data through an Original NMF-Based Unmixing Algorithm Associated with the Augmented Linear Mixing Model Addressing Spectral Variability,10.1109/IGARSS55030.2025.11242884,related application / not core HU survey
Isolating Signals in Passive Non-Line-of-Sight Imaging Using Spectral Content.pdf,Isolating Signals in Passive Non-Line-of-Sight Imaging Using Spectral Content,10.1109/TPAMI.2023.3301336,related application / not core HU survey
MFU-Net A Novel Deep Learning Framework for Unmixing Method for Sentinel-2 Imagery of Invasive Serrated Tussock -Nassella Trichotoma-.pdf,MFU-Net: A Novel Deep Learning Framework for Unmixing Method for Sentinel-2 Imagery of Invasive Serrated Tussock (Nassella Trichotoma),10.1109/IVCNZ67716.2025.11281840,related application / not core HU survey
A 44.3-mW 62.4-fps Hyperspectral Image Processor for Spectral Unmixing in MAV Remote Sensing.pdf,A 44.3-mW 62.4-fps Hyperspectral Image Processor for Spectral Unmixing in MAV Remote Sensing,10.1109/JSSC.2024.3456889,related application / not core HU survey
Bidirectional Recurrent Imputation and Abundance Estimation of LULC Classes With MODIS Multispectral Time-Series and Geo-Topographic and Climatic Data.pdf,Bidirectional Recurrent Imputation and Abundance Estimation of LULC Classes With MODIS Multispectral Time-Series and Geo-Topographic and Climatic Data,10.1109/JSTARS.2024.3359647,related application / not core HU survey
Marine Mucilage Mapping Using a Partial Linear-Quadratic Hyperspectral Unmixing NMF-Based Approach.pdf,Marine Mucilage Mapping Using a Partial Linear-Quadratic Hyperspectral Unmixing NMF-Based Approach,10.1109/IGARSS55030.2025.11243385,related application / not core HU survey
A Promising Contribution of Hyperspectral Unmixing for Overlapped Tissues Segmentation Using Autoencoders.pdf,A Promising Contribution of Hyperspectral Unmixing for Overlapped Tissues Segmentation Using Autoencoders,10.1109/ICABME66883.2025.11210879,related application / not core HU survey
Forward Spectral Mixture Modelling for Mineral Mapping Applications.pdf,Forward Spectral Mixture Modelling for Mineral Mapping Applications,10.1109/InGARSS61818.2024.10984204,related application / not core HU survey
